area,item,year,value_tonnes
Austria,"Cheese from milk of buffalo, fresh or processed",2010,40.0
Austria,"Cheese from milk of buffalo, fresh or processed",2011,100.0
Austria,"Cheese from milk of buffalo, fresh or processed",2012,130.0
Austria,"Cheese from milk of buffalo, fresh or processed",2013,130.0
Austria,"Cheese from milk of buffalo, fresh or processed",2014,120.0
Austria,"Cheese from milk of buffalo, fresh or processed",2015,200.0
Austria,"Cheese from milk of buffalo, fresh or processed",2016,130.0
Austria,"Cheese from milk of buffalo, fresh or processed",2017,160.0
Austria,"Cheese from milk of buffalo, fresh or processed",2018,100.0
Austria,"Cheese from milk of buffalo, fresh or processed",2019,50.0
Austria,"Cheese from milk of buffalo, fresh or processed",2020,80.0
Austria,"Cheese from milk of buffalo, fresh or processed",2021,60.0
Austria,"Cheese from milk of buffalo, fresh or processed",2022,100.0
Austria,"Cheese from milk of buffalo, fresh or processed",2023,110.0
Austria,"Cheese from milk of goats, fresh or processed",1961,4500.0
Austria,"Cheese from milk of goats, fresh or processed",1962,3000.0
Austria,"Cheese from milk of goats, fresh or processed",1963,4200.0
Austria,"Cheese from milk of goats, fresh or processed",1964,3000.0
Austria,"Cheese from milk of goats, fresh or processed",1965,2700.0
Austria,"Cheese from milk of goats, fresh or processed",1966,2700.0
Austria,"Cheese from milk of goats, fresh or processed",1967,2250.0
Austria,"Cheese from milk of goats, fresh or processed",1968,2250.0
Austria,"Cheese from milk of goats, fresh or processed",1969,1800.0
Austria,"Cheese from milk of goats, fresh or processed",1970,1800.0
Austria,"Cheese from milk of goats, fresh or processed",1971,1800.0
Austria,"Cheese from milk of goats, fresh or processed",1972,1500.0
Austria,"Cheese from milk of goats, fresh or processed",1973,1200.0
Austria,"Cheese from milk of goats, fresh or processed",1974,1350.0
Austria,"Cheese from milk of goats, fresh or processed",1975,1200.0
Austria,"Cheese from milk of goats, fresh or processed",1976,1350.0
Austria,"Cheese from milk of goats, fresh or processed",1977,1200.0
Austria,"Cheese from milk of goats, fresh or processed",1978,750.0
Austria,"Cheese from milk of goats, fresh or processed",1979,600.0
Austria,"Cheese from milk of goats, fresh or processed",1980,750.0
Austria,"Cheese from milk of goats, fresh or processed",1981,225.0
Austria,"Cheese from milk of goats, fresh or processed",1982,150.0
Austria,"Cheese from milk of goats, fresh or processed",1983,150.0
Austria,"Cheese from milk of goats, fresh or processed",1984,120.0
Austria,"Cheese from milk of goats, fresh or processed",1985,120.0
Austria,"Cheese from milk of goats, fresh or processed",1986,150.0
Austria,"Cheese from milk of goats, fresh or processed",1987,120.0
Austria,"Cheese from milk of goats, fresh or processed",1988,150.0
Austria,"Cheese from milk of goats, fresh or processed",1989,120.0
Austria,"Cheese from milk of goats, fresh or processed",1990,150.0
Austria,"Cheese from milk of goats, fresh or processed",1991,150.0
Austria,"Cheese from milk of goats, fresh or processed",1992,300.0
Austria,"Cheese from milk of goats, fresh or processed",1993,300.0
Austria,"Cheese from milk of goats, fresh or processed",1994,450.0
Austria,"Cheese from milk of goats, fresh or processed",1995,1050.0
Austria,"Cheese from milk of goats, fresh or processed",1996,1125.0
Austria,"Cheese from milk of goats, fresh or processed",1997,1200.0
Austria,"Cheese from milk of goats, fresh or processed",1998,1200.0
Austria,"Cheese from milk of goats, fresh or processed",1999,1200.0
Austria,"Cheese from milk of goats, fresh or processed",2000,1275.0
Austria,"Cheese from milk of goats, fresh or processed",2001,1350.0
Austria,"Cheese from milk of goats, fresh or processed",2002,1350.0
Austria,"Cheese from milk of goats, fresh or processed",2003,1200.0
Austria,"Cheese from milk of goats, fresh or processed",2004,1248.9
Austria,"Cheese from milk of goats, fresh or processed",2005,1433.25
Austria,"Cheese from milk of goats, fresh or processed",2006,1372.65
Austria,"Cheese from milk of goats, fresh or processed",2007,1806.45
Austria,"Cheese from milk of goats, fresh or processed",2008,1862.7
Austria,"Cheese from milk of goats, fresh or processed",2009,1967.25
Austria,"Cheese from milk of goats, fresh or processed",2010,830.0
Austria,"Cheese from milk of goats, fresh or processed",2011,850.0
Austria,"Cheese from milk of goats, fresh or processed",2012,950.0
Austria,"Cheese from milk of goats, fresh or processed",2013,910.0
Austria,"Cheese from milk of goats, fresh or processed",2014,1040.0
Austria,"Cheese from milk of goats, fresh or processed",2015,1140.0
Austria,"Cheese from milk of goats, fresh or processed",2016,1100.0
Austria,"Cheese from milk of goats, fresh or processed",2017,1150.0
Austria,"Cheese from milk of goats, fresh or processed",2018,1740.0
Austria,"Cheese from milk of goats, fresh or processed",2019,1450.0
Austria,"Cheese from milk of goats, fresh or processed",2020,1430.0
Austria,"Cheese from milk of goats, fresh or processed",2021,1090.0
Austria,"Cheese from milk of goats, fresh or processed",2022,1250.0
Austria,"Cheese from milk of goats, fresh or processed",2023,1180.0
Austria,"Cheese from milk of sheep, fresh or processed",1961,532.0
Austria,"Cheese from milk of sheep, fresh or processed",1962,513.0
Austria,"Cheese from milk of sheep, fresh or processed",1963,475.0
Austria,"Cheese from milk of sheep, fresh or processed",1964,456.0
Austria,"Cheese from milk of sheep, fresh or processed",1965,456.0
Austria,"Cheese from milk of sheep, fresh or processed",1966,437.0
Austria,"Cheese from milk of sheep, fresh or processed",1967,437.0
Austria,"Cheese from milk of sheep, fresh or processed",1968,399.0
Austria,"Cheese from milk of sheep, fresh or processed",1969,399.0
Austria,"Cheese from milk of sheep, fresh or processed",1970,380.0
Austria,"Cheese from milk of sheep, fresh or processed",1971,342.0
Austria,"Cheese from milk of sheep, fresh or processed",1972,342.0
Austria,"Cheese from milk of sheep, fresh or processed",1973,361.0
Austria,"Cheese from milk of sheep, fresh or processed",1974,418.0
Austria,"Cheese from milk of sheep, fresh or processed",1975,475.0
Austria,"Cheese from milk of sheep, fresh or processed",1976,513.0
Austria,"Cheese from milk of sheep, fresh or processed",1977,532.0
Austria,"Cheese from milk of sheep, fresh or processed",1978,551.0
Austria,"Cheese from milk of sheep, fresh or processed",1979,589.0
Austria,"Cheese from milk of sheep, fresh or processed",1980,589.0
Austria,"Cheese from milk of sheep, fresh or processed",1981,570.0
Austria,"Cheese from milk of sheep, fresh or processed",1982,589.0
Austria,"Cheese from milk of sheep, fresh or processed",1983,608.0
Austria,"Cheese from milk of sheep, fresh or processed",1984,665.0
Austria,"Cheese from milk of sheep, fresh or processed",1985,665.0
Austria,"Cheese from milk of sheep, fresh or processed",1986,741.0
Austria,"Cheese from milk of sheep, fresh or processed",1987,779.0
Austria,"Cheese from milk of sheep, fresh or processed",1988,798.0
Austria,"Cheese from milk of sheep, fresh or processed",1989,779.0
Austria,"Cheese from milk of sheep, fresh or processed",1990,874.0
Austria,"Cheese from milk of sheep, fresh or processed",1991,950.0
Austria,"Cheese from milk of sheep, fresh or processed",1992,893.0
Austria,"Cheese from milk of sheep, fresh or processed",1993,988.0
Austria,"Cheese from milk of sheep, fresh or processed",1994,1026.0
Austria,"Cheese from milk of sheep, fresh or processed",1995,1045.0
Austria,"Cheese from milk of sheep, fresh or processed",1996,1197.0
Austria,"Cheese from milk of sheep, fresh or processed",1997,1197.0
Austria,"Cheese from milk of sheep, fresh or processed",1998,1387.0
Austria,"Cheese from milk of sheep, fresh or processed",1999,1330.0
Austria,"Cheese from milk of sheep, fresh or processed",2000,1330.0
Austria,"Cheese from milk of sheep, fresh or processed",2001,1368.0
Austria,"Cheese from milk of sheep, fresh or processed",2002,1254.0
Austria,"Cheese from milk of sheep, fresh or processed",2003,1159.0
Austria,"Cheese from milk of sheep, fresh or processed",2004,1122.33
Austria,"Cheese from milk of sheep, fresh or processed",2005,1102.57
Austria,"Cheese from milk of sheep, fresh or processed",2006,1137.72
Austria,"Cheese from milk of sheep, fresh or processed",2007,1146.08
Austria,"Cheese from milk of sheep, fresh or processed",2008,1043.29
Austria,"Cheese from milk of sheep, fresh or processed",2009,1057.16
Austria,"Cheese from milk of sheep, fresh or processed",2010,620.0
Austria,"Cheese from milk of sheep, fresh or processed",2011,570.0
Austria,"Cheese from milk of sheep, fresh or processed",2012,650.0
Austria,"Cheese from milk of sheep, fresh or processed",2013,1010.0
Austria,"Cheese from milk of sheep, fresh or processed",2014,930.0
Austria,"Cheese from milk of sheep, fresh or processed",2015,520.0
Austria,"Cheese from milk of sheep, fresh or processed",2016,650.0
Austria,"Cheese from milk of sheep, fresh or processed",2017,710.0
Austria,"Cheese from milk of sheep, fresh or processed",2018,780.0
Austria,"Cheese from milk of sheep, fresh or processed",2019,710.0
Austria,"Cheese from milk of sheep, fresh or processed",2020,760.0
Austria,"Cheese from milk of sheep, fresh or processed",2021,1280.0
Austria,"Cheese from milk of sheep, fresh or processed",2022,920.0
Austria,"Cheese from milk of sheep, fresh or processed",2023,790.0
Austria,Cheese from skimmed cow milk,1961,9301.0
Austria,Cheese from skimmed cow milk,1962,10278.0
Austria,Cheese from skimmed cow milk,1963,10717.0
Austria,Cheese from skimmed cow milk,1964,11926.0
Austria,Cheese from skimmed cow milk,1965,12638.0
Austria,Cheese from skimmed cow milk,1966,13183.0
Austria,Cheese from skimmed cow milk,1967,13249.0
Austria,Cheese from skimmed cow milk,1968,13858.0
Austria,Cheese from skimmed cow milk,1969,14463.0
Austria,Cheese from skimmed cow milk,1970,15150.0
Austria,Cheese from skimmed cow milk,1971,16067.0
Austria,Cheese from skimmed cow milk,1972,17626.0
Austria,Cheese from skimmed cow milk,1973,17468.0
Austria,Cheese from skimmed cow milk,1974,17977.0
Austria,Cheese from skimmed cow milk,1975,18193.0
Austria,Cheese from skimmed cow milk,1976,19065.0
Austria,Cheese from skimmed cow milk,1977,19478.0
Austria,Cheese from skimmed cow milk,1978,19983.0
Austria,Cheese from skimmed cow milk,1979,19523.0
Austria,Cheese from skimmed cow milk,1980,20331.0
Austria,Cheese from skimmed cow milk,1981,20622.0
Austria,Cheese from skimmed cow milk,1982,20878.0
Austria,Cheese from skimmed cow milk,1983,21102.0
Austria,Cheese from skimmed cow milk,1984,21386.0
Austria,Cheese from skimmed cow milk,1985,21370.0
Austria,Cheese from skimmed cow milk,1986,21324.0
Austria,Cheese from skimmed cow milk,1987,21767.0
Austria,Cheese from skimmed cow milk,1988,23679.0
Austria,Cheese from skimmed cow milk,1989,25482.0
Austria,Cheese from skimmed cow milk,1990,25796.0
Austria,Cheese from skimmed cow milk,1991,25048.0
Austria,Cheese from skimmed cow milk,1992,23500.0
Austria,Cheese from skimmed cow milk,1993,24000.0
Austria,Cheese from skimmed cow milk,1994,18700.0
Austria,Cheese from skimmed cow milk,1995,13391.0
Austria,Cheese from skimmed cow milk,1996,13601.0
Austria,Cheese from skimmed cow milk,1997,13531.0
Austria,Cheese from skimmed cow milk,1998,14359.0
Austria,Cheese from skimmed cow milk,1999,17954.0
Austria,Cheese from skimmed cow milk,2000,18018.0
Austria,Cheese from skimmed cow milk,2001,21039.0
Austria,Cheese from skimmed cow milk,2002,24032.0
Austria,Cheese from skimmed cow milk,2003,29941.0
Austria,Cheese from skimmed cow milk,2004,31900.0
Austria,Cheese from skimmed cow milk,2005,33200.0
Austria,Cheese from skimmed cow milk,2006,31997.0
Austria,Cheese from skimmed cow milk,2007,28306.0
Austria,Cheese from skimmed cow milk,2008,29000.0
Austria,Cheese from skimmed cow milk,2009,32099.0
Austria,Cheese from skimmed cow milk,2010,33330.0
Austria,Cheese from skimmed cow milk,2011,34550.0
Austria,Cheese from skimmed cow milk,2012,35311.0
Austria,Cheese from skimmed cow milk,2013,38276.0
Austria,Cheese from skimmed cow milk,2014,40000.0
Austria,Cheese from skimmed cow milk,2015,42000.0
Austria,Cheese from skimmed cow milk,2016,40000.0
Austria,Cheese from skimmed cow milk,2017,42000.0
Austria,Cheese from skimmed cow milk,2018,41000.0
Austria,Cheese from skimmed cow milk,2019,40000.0
Austria,Cheese from skimmed cow milk,2020,40000.0
Austria,Cheese from skimmed cow milk,2021,40000.0
Austria,Cheese from skimmed cow milk,2022,40000.0
Austria,Cheese from skimmed cow milk,2023,40000.0
Austria,Cheese from whole cow milk,1961,27280.0
Austria,Cheese from whole cow milk,1962,28747.0
Austria,Cheese from whole cow milk,1963,30921.0
Austria,Cheese from whole cow milk,1964,32551.0
Austria,Cheese from whole cow milk,1965,35251.0
Austria,Cheese from whole cow milk,1966,36242.0
Austria,Cheese from whole cow milk,1967,38472.0
Austria,Cheese from whole cow milk,1968,39702.0
Austria,Cheese from whole cow milk,1969,41122.0
Austria,Cheese from whole cow milk,1970,44142.0
Austria,Cheese from whole cow milk,1971,47584.0
Austria,Cheese from whole cow milk,1972,52227.0
Austria,Cheese from whole cow milk,1973,54412.0
Austria,Cheese from whole cow milk,1974,57775.0
Austria,Cheese from whole cow milk,1975,59765.0
Austria,Cheese from whole cow milk,1976,62437.0
Austria,Cheese from whole cow milk,1977,67000.0
Austria,Cheese from whole cow milk,1978,70415.0
Austria,Cheese from whole cow milk,1979,71147.0
Austria,Cheese from whole cow milk,1980,71500.0
Austria,Cheese from whole cow milk,1981,77000.0
Austria,Cheese from whole cow milk,1982,81000.0
Austria,Cheese from whole cow milk,1983,80000.0
Austria,Cheese from whole cow milk,1984,83282.0
Austria,Cheese from whole cow milk,1985,82026.0
Austria,Cheese from whole cow milk,1986,76216.0
Austria,Cheese from whole cow milk,1987,76581.0
Austria,Cheese from whole cow milk,1988,81591.0
Austria,Cheese from whole cow milk,1989,88171.0
Austria,Cheese from whole cow milk,1990,87319.0
Austria,Cheese from whole cow milk,1991,83061.0
Austria,Cheese from whole cow milk,1992,84000.0
Austria,Cheese from whole cow milk,1993,85500.0
Austria,Cheese from whole cow milk,1994,107141.0
Austria,Cheese from whole cow milk,1995,104658.0
Austria,Cheese from whole cow milk,1996,103582.0
Austria,Cheese from whole cow milk,1997,110712.0
Austria,Cheese from whole cow milk,1998,117362.0
Austria,Cheese from whole cow milk,1999,115870.0
Austria,Cheese from whole cow milk,2000,123912.0
Austria,Cheese from whole cow milk,2001,138005.0
